X,mean,MOEA_D,NSGA_II,R2_MOEA,VSD_MOEA,MOEA_D_Distance,NSGA_II_Distance,R2_MOEA_Distance,VSD_MOEA_Distance,MOEA_D_Position,NSGA_II_Position,R2_MOEA_Position,VSD_MOEA_Position
1,$0\%$,1.985207,1.984417,1.986497,1.986663,1.807407,1.808157,1.81023,1.810232,0.782039,0.778656,0.779103,0.779209
2,$10\%$,0.674948,0.636607,0.611022,2.396987,0.006565,0.02522,0.000228,2.223152,0.672552,0.631691,0.610952,0.83724
3,$20\%$,0.672694,0.640909,0.610356,2.337895,0.006163,0.022193,0.000228,2.175186,0.6705,0.636571,0.610286,0.797989
4,$30\%$,0.679247,0.63164,0.610955,2.287792,0.003093,0.023551,0,2.124242,0.678661,0.627336,0.610955,0.789052
5,$40\%$,0.674242,0.634703,0.61386,2.140177,0.00329,0.025606,0,1.95656,0.673622,0.629338,0.61386,0.798001
6,$50\%$,0.671667,0.632368,0.614653,1.770927,0.002934,0.026239,0,1.507275,0.671147,0.627355,0.614653,0.847426
7,$60\%$,0.669888,0.631171,0.614979,1.484456,0.003038,0.022002,0,1.144086,0.669354,0.627124,0.614979,0.863292
8,$70\%$,0.670043,0.630648,0.615331,1.340982,0.003035,0.02518,0,0.977252,0.669509,0.625796,0.615331,0.834828
9,$80\%$,0.671583,0.63749,0.614551,1.175136,0.003035,0.027545,0,0.750324,0.671051,0.63175,0.614551,0.797748
10,$90\%$,0.67027,0.630062,0.614924,0.978401,0.003034,0.027953,0,0.419729,0.669739,0.624196,0.614924,0.765673
11,$100\%$,0.670424,0.635212,0.613942,0.853682,0.002638,0.028026,0,0.270152,0.670001,0.629564,0.613942,0.706434
