X,mean,MOEA_D,NSGA_II,R2_MOEA,VSD_MOEA
1,300,0.6416406094,0.5757438944,0.6258942295,0.5998584487
2,500,0.6736520787,0.6060911233,0.7052439548,0.6293100467
3,800,0.697044463,0.6176889962,0.7225507698,0.6657742419
4,1000,0.7210780154,0.6246392212,0.7414600286,0.7000080772
5,1300,0.7313861185,0.630466132,0.7569209635,0.7182471138
6,1500,0.7443403168,0.63761617,0.7724391684,0.7245853488
7,1800,0.760599225,0.6588341897,0.7818223715,0.7370287592
8,2000,0.768589854,0.66944876,0.7926604395,0.7508856431
9,2300,0.7781207158,0.6796226263,0.7981081454,0.7649191814
10,2500,0.7835118402,0.6809747542,0.8006509983,0.7730903041
11,5000,0.8056309315,0.723570014,0.8211763108,0.823520943
12,7500,0.8128705121,0.7360614272,0.8268047299,0.8573891356
13,10000,0.8178671979,0.7433126117,0.8286710234,0.8680331357
14,12500,0.8203998555,0.7489188283,0.8295664695,0.8713192625
15,15000,0.8212249226,0.7521479823,0.8298198643,0.8731188918
16,17500,0.8221892438,0.7541906911,0.8305515415,0.8760329283
17,20000,0.8225987768,0.7581963884,0.8308182774,0.8799024597
18,22500,0.8229095365,0.7597127048,0.8312666359,0.88065079
19,25000,0.8235855341,0.7606162998,0.8322228101,0.8845464822
20,50000,0.8266677005,0.7683692598,0.8375834831,0.894123126
21,75000,0.8282183427,0.7731615834,0.8422702572,0.9043915312
22,100000,0.8294617351,0.775801943,0.8471121637,0.9102218488
23,125000,0.8304749279,0.7782549123,0.8500851234,0.9109729721
24,150000,0.8327338544,0.7802532903,0.851774353,0.9146619038
25,175000,0.8337603813,0.7821698893,0.8526199603,0.9147747772
26,200000,0.8344158056,0.7836080619,0.8534577092,0.916917074
27,225000,0.8351272612,0.7841021985,0.8538935488,0.9175266283
28,250000,0.8354264329,0.7850856718,0.8553253857,0.9190395957
